Support-Chief Executive's Office,909
Support-Executive Council,261
Support-General Expenses of the Civil Service,38259
Support-Use of Information Technology (IT) in Government,5829
Support-IT Infrastructure and Standards,854
Support-IT in the Community,1092
Support-Statutory Testing,2164
Support-Advisory and Investigative Services,821
Support-Forensic Science Services,1908
Support-Assessing Functions,11847
Support-Collection,1778
Support-Investigation and Field Audit,2418
Support-Taxpayer Services,296
Support-Statutory Functions,1157
Support-Protection of Intellectual Property,515
Support-Members' Offices and Remuneration,2897
Support-Council Business Services,4353
Support-Legal Service,555
Support-Redress System,244
Support-Library and Archives Services,407
Support-Corporate Liaison and Education and Visitor Services,445
Support-Complaints Administration,1171
Support-Official Receiver's Office,3436
Support-Territorial Planning,1461
Support-District Planning,4234
Support-Town Planning Information Services,311
Support-Technical Services,1306
Support-Public and Judicial Service Pension Benefits,379164
Support-War Memorial Pensions/Volunteer Pensions,183
Support-Director of Bureau's Office,161
Support-Innovation and Technology,3101
Support-Efficiency Office,264
Support-Secretariat services for the Public Service Commission,271
Support-Policy Innovation and Co-ordination Office,1238
Support-Government Records Service,808
Support-CSO-Administration Wing,5208
Support-Protocol Division,483
Support-Subvention: Duty Lawyer Service and Legal Aid Services Council,5
Support-Subvention: Duty Lawyer Service and Legal Aid Services Council,1069
Support-Director of Bureau's Office,12
Support-Constitutional and Mainland Affairs,1348
Support-Mainland and Taiwan Offices,315
Support-Rights of the Individual,303
Support-Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data,755
Support-Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data,1085
Support-Director of Bureau's Office,143
Support-Revenue and Financial Control,173
Support-Service Departments,70
Support-Radio,3819
Support-Public Affairs and General Television Programme,5608
Support-School Education Television Programme,277
Support-New Media,421
Support-Electoral Services,7114
Support-Government Flying Service,6229
Support-Weather Services,2903
Support-Radiation Monitoring and Assessment,353
Support-Time Standard and Geophysical Services,129
Support-Secretariat services,338
"Support-Central Accounting, Collections and Payments",1511
"Support-Payment of Salaries, Pensions and Benefits",1265
Support-Accounting and Financial Information Systems,121
Support-Management of Funds,82
Affairs-Director of Bureau's Office,132
"Affairs-Youth Development, Social Harmony and Civic Education",5341
"Affairs-District, Community, and Public Relations",426
"Affairs-Recreation, Sport and Entertainment Licensing",1818
Affairs-Culture,3573
Affairs-Subvention: Hong Kong Academy for Performing Arts,3667
Affairs-Subvention: Hong Kong Academy for Performing Arts,361
Affairs-Subvention: Hong Kong Academy for Performing Arts,1638
Affairs-Subvention: Duty Lawyer Service and Legal Aid Services Council,17
Affairs-Subvention: Duty Lawyer Service and Legal Aid Services Council,356
Affairs-Public Relations Outside Hong Kong,1248
Affairs-Local Public Relations and Public Information,2355
Affairs-Public Opinion,221
Affairs-Civic Responsibility,496
Affairs-Publishing,674
Affairs-Recreation and Sports,41807
Affairs-Horticulture and Amenities,1263
Affairs-Heritage and Museums,11179
Affairs-Performing Arts,12467
Affairs-Public Libraries,1283
Affairs-Commercial Relations,2015
Affairs-Public Relations,1541
Affairs-Investment Promotion,697
Affairs-Family and Child Welfare,24137
Affairs-Young People,1017
Economic-Regularity Audit,629
Economic-Value for Money Audit,1108
Economic-Trade Statistics,1819
Economic-Social Statistics,1105
Economic-National Accounts and Balance of Payments Statistics,909
Economic-General Statistical Services,34
Economic-Price/Industry/Service Statistics,1585
Economic-Labour Statistics,968
Economic-Civil Aid Service,1169
